claim_id,article_id,topic,article_title,claim_sentence,claim_numeric_value,claim_numeric_unit,claim_period,claim_comparison_target,extracted_by,article_url
A001-01,A001,인구,2024년 서울 인구 5년 만에 최저치 기록,서울 인구가 2024년 기준 5년 만에 최저치를 기록했다,9384000,명,2024,2019년 대비,claim_extractor.py + 사람 교정,https://www.chosun.com/economy/market_trend/2025/05/05/CUZARKRUGNBKBAQJ6TAN3QAHG4/
A003-01,A003,경제,"백종원, '방송활동 중단' 승부수… 오버행 부담 덜까",상장 첫날 더본코리아 주식은 공모가(3만4000원)보다 51.18%(1만7400원) 오른 5만1400원에 거래를 마쳤다.,51400,원,2025.05,공모가(3만4000원)보다,claim_extractor.py + 사람 교정,https://www.chosun.com/economy/money/2025/05/06/3BM2ISQL2LODMSN4VOI4WGL5QY
A003-02,A003,경제,"백종원, '방송활동 중단' 승부수… 오버행 부담 덜까",더본코리아 주가는 지난 2일 종가 2만6950원으로 공모가보다 20% 낮은 수준에 머물렀다.,26950,원,2025.05,공모가(3만4000원)보다,claim_extractor.py + 사람 교정,https://www.chosun.com/economy/money/2025/05/06/3BM2ISQL2LODMSN4VOI4WGL5QY
A004-01,A004,경제,"육아휴직 핀란드 국방장관, 출산휴가 英 검찰총장… 저출생 해법 들려줘",지난 5일 어린이날에는 지난달 말 기준 국내 어린이(0~14세) 수가 역대 최저치를 기록했다는 소식이 전해졌다.,역대 최저치,,2025.05,지난달 말 기준(25.04),,https://www.chosun.com/economy/economy_general/2025/05/07/MXYHVYYN4FBV3ONTCKIGEJ74U4/
A008-01,A008,경제,"""3단계 스트레스 DSR, 수도권·지방 차등""","금융 당국은 작년 2월 은행권 주택담보대출에 0.38%의 스트레스 DSR 금리를 붙이는 1단계 조치를 도입했고, 9월부터는 2단계로 은행권 주택담보대출·신용대출과 2금융권 주택담보대출에 수도권 1.2%, 비수도권 0.75%의 스트레스 금리를 적용해왔다.",0.38,%,2025.05,작년 2월(24.02),,https://www.chosun.com/economy/economy_general/2025/05/08/73WTZHCJQJBNFCCUPRE3O7H344
A009-01,A009,자동차,"美 자동차 '빅3', 관세 역풍에 동반 부진","미국이 모든 수입차에 부과하는 25% 관세가 2분기부터 본격 영향을 미치면서, 연간 실적 전망치를 대폭 낮춰 잡거나 전망 자체를 포기하는 사례가 잇따르고 있다.",0.25,%,2025.05,,,https://www.chosun.com/economy/auto/2025/05/08/4CDVS52635DE3NN6AUYLF6VRB4
A012-01,A012,겅제,"中 ""시행착오 허용""… '용착' 개념 제도화, 실패 무릅쓰고 연구","한국산업기술기획평가원에 따르면, 2017~2022년 우리나라의 국가 주도 R&D 과제 성공률은 97% 밑으로 내려간 적이 한 번도 없다. ",0.97,%,2025.05,2017~2022년,,https://www.chosun.com/economy/economy_general/2025/05/08/OBWUVLVHBBASRFQEDJGCJ4NP2Y
A013-01,A013,경제,한국이 R&D 나눠먹을 때… 중국은 '떡잎' 골라 몰아줬다,AI 관련 R&D 예산은 1조2000억원으로 정부 R&D의 약 4% 수준이다.,1.2,조원,2025.05,,,https://www.chosun.com/economy/economy_general/2025/05/08/P5U6GYQISBFYVG6Q4NRZDH3YFE
A013-02,A013,경제,한국이 R&D 나눠먹을 때… 중국은 '떡잎' 골라 몰아줬다,AI 관련 R&D 예산은 1조2000억원으로 정부 R&D의 약 4% 수준이다.,4,%,2025.05,,,https://www.chosun.com/economy/economy_general/2025/05/08/P5U6GYQISBFYVG6Q4NRZDH3YFE
A015-01,A015,자동차,"영국車 관세 10%로 인하... 美 빅3 ""우리 차 산업에 해 끼칠 것"" 반발",미국이 영국산 자동차에 대한 품목별 관세를 연간 10만대에 한해 기존 27.5%에서 10%로 낮추기로 하자 특혜라며 반발하는 것이다.,0.1,%,2025.05,기존 27.5%,,https://www.chosun.com/economy/auto/2025/05/09/TDXX7IAYGFD77DFG3LJTUMJHQA
