claim_id,confidence,gold_table_id,sentence,V1_rank,V4_rank,V1_top1,V4_top1,V4_vs_V1
A022-01,low,DT_1K41017,통계청 발표에 따르면 작년 전국 17개 모든 시도에서 소매 판매가 감소한 것으로 나타났다. 전국적으로는 2.,1.0,1.0,DT_1K41017,DT_1K41017,동일
A022-02,low,DT_1DA7E06S_NEW,"지난달 건설업 취업자 수는 192만 1000명으로, 코로나 팬데믹 시기였던 2021년 이후 처음으로 200만",,,DT_1DA7001S,DT_1DA7001S,동일
A023-01,high,DT_1J22112,"2일 통계청이 발표한 ‘3월 소비자물가 동향’에 따르면, 지난달 소비자물가 지수는 116.29로 전년 동월 ",,,DT_1J22003,DT_1J22003,동일
A023-02,high,DT_1J22112,"지난달 가공식품 물가는 전년 동월 대비 3.6% 올랐는데, 지난해 1월(3.2%) 이후 14개월 만에 최대 ",,,,,동일
A023-03,high,DT_1J22112,"외식 물가는 지난 2월(3%)에 이어 지난달에도 3% 상승했는데,",,,,,동일
A024-01,high,DT_1B8000G,"22일 통계청이 22일 발표한 ‘2024년 11월 인구동향’에 따르면, 작년 11월 출생아 수는 1년 전에 ",1.0,1.0,DT_1B8000G,DT_1B8000G,동일
A024-02,high,DT_1B8000G,작년 1월부터 11월까지 출생아 수 22만94명으로 전년에 비해 3% 늘어났다.,1.0,1.0,DT_1B8000G,DT_1B8000G,동일
A024-03,high,DT_1B8000G,"향후 혼인 추이가 현재의 출생 증가세 유지를 결정하는 주요 변수로 지목되는 가운데, 작년 11월 혼인 건수는",1.0,1.0,DT_1B8000G,DT_1B8000G,동일
A025-01,high,DT_1B8000G,"통계청이 26일 발표한 ‘2024년 12월 인구동향’에 따르면, 작년 한해 혼인 건수는 22만2422건으로 ",2.0,2.0,DT_1B04005N,DT_1B04005N,동일
A025-02,high,DT_1B8000G,작년 12월 혼인 건수는 2만2519건에 달해 전년 동월 대비 28.1% 늘었다.,1.0,1.0,DT_1B8000G,DT_1B8000G,동일
A025-03,high,DT_1B8000G,작년 이혼 건수는 9만1155건으로 전년(9만1155건) 대비 1.3% 줄었다. ,1.0,1.0,DT_1B8000G,DT_1B8000G,동일
A026-01,low,DT_1L9U103,"29일 통계청은 ’2025년 1분기 가계동향 조사 결과’에서, 올해 1분기 가구당 월평균 소득이 535만10",,1.0,,DT_1L9U103,개선
A026-02,low,DT_1L9U103,소득 하위 20%(1분위) 가구의 월평균 소득은 114만원으로 1년 전보다 1.5% 줄었다.,1.0,1.0,DT_1L9U103,DT_1L9U103,동일
A026-03,low,DT_1L9U103, 이에 가구원 수가 같다고 가정해 상위 20%의 소득이 하위 20%의 몇 배인지를 보여주는 지표인 균등화 처,1.0,1.0,DT_1L9U103,DT_1L9U103,동일
A027-01,high,DT_1J22112,4일 통계청은 ‘5월 소비자 물가 동향’에서 지난달 소비자 물가가 전년 동월 대비 1.9% 올랐다고 밝혔다.,,,DT_1J22003,DT_1J22003,동일
A027-02,high,DT_1J22112,"하지만 지난달 돼지고기(8.4%), 국산 쇠고기(5.3%), 계란(3.8%) 등의 가격이 일제히 오르며, 축",,,,,동일
A032-01,high,DT_1J22112,"6일 통계청이 발표한 ‘2월 소비자물가 동향’에 따르면, 지난달 소비자물가지수는 116.08로 전년 동월 대",,,DT_1J22003,DT_1J22003,동일
A032-02,high,DT_1J22112,"지난달 석유류 가격은 전년 동월 대비 6.3% 올라, 1월(7.3%)에 이어 두 달 연속으로 5% 이상의 상",,,,,동일
A035-01,low,DT_1DA7E06S_NEW,17일 통계청은 지난달 보건·사회복지 서비스업 종사자가 281만2000명으로 전체 취업자(2787만8000명,,,DT_1DA7001S,DT_1DA7001S,동일
A035-02,low,DT_1DA7E06S_NEW,"간병인, 요양보호사 등이 필요한 이들이 늘며, 2014년 170만9000명이었던 보건·복지 종사자는 지난해 ",,,,,동일
A035-03,low,DT_1DA7E06S_NEW," 제조업 종사자 비율은 2014년 17%에서 지난해 15.6%로 하락한 반면,",,,,,동일
A038-01,high,DT_1DA7001S,"15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지난달 취업자 수는 2804만10",1.0,1.0,DT_1DA7001S,DT_1DA7001S,동일
A038-02,high,DT_1DA7102S,청년 실업률은 5.9%로 6%에 육박했다. ,1.0,1.0,DT_1DA7102S,DT_1DA7102S,동일
