claim_id,kosis_table_id,org_id,org_name,kosis_value,kosis_source_url,match_status,note,mapped_by,mapped_at
A001-01,DT_1B040A3,101.0,국가데이터처(주민등록인구현황),"9,384,325명 (2024.1)",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B040A3,값 확인됨 (일치),"서울특별시 총인구, 2024.1=9,384,325명. 기사 수치(9,384,000명)와 사실상 일치(연간 값이 아니라 2024년 초 시점 월간값으로 확인됨). 2024년 12월 기준으로는 9,331,828명으로 더 낮아짐(연중 계속 감소)","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-31
A003-01,,,,,,매칭 실패,"더본코리아 상장 첫날 종가(51,400원, 공모가 대비 +51.18%) - 개별 종목 주가는 한국거래소 시세 데이터로 KOSIS(국가승인통계) 대상이 아님. KRX 정보데이터시스템에서 직접 확인 필요","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A003-02,,,,,,매칭 실패,"더본코리아 5/2 종가(26,950원) - 상동 사유","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A004-01,DT_1B04006,101.0,국가데이터처(주민등록인구현황),"5,392,237명 (2025.4, 0~14세 합계)",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B04006,값 확인됨 (참고용),전국 0~14세 인구를 1세 단위로 합산한 값. 기사는 구체적 수치 없이 '역대 최저치'라고만 서술 - 실제로 최저치인지는 전체 시계열을 다 비교해야 확정되므로 참고용으로 표기,"Claude(코시스 API 직접 조회, 수치 확인)",2026-07-31
A008-01,,,,,,매칭 실패,"스트레스 DSR 금리 0.38%(2024.2 도입) - 금융위원회·금융감독원의 가계부채 관리 정책(규제 비율)으로, KOSIS에 등재되는 조사 통계가 아님","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A009-01,,,,,,매칭 실패,미국의 수입차 관세 25% - 미국 정부의 관세 정책 수치로 KOSIS(국내 통계) 대상 아님,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A012-01,DT_127003_001,127.0,과학기술정보통신부(국가연구개발사업통계),,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_127003_001,표 후보 확인 (항목 없음),국가연구개발사업의 총괄 집행 추이 표를 확인했으나 예산·집행액·사업수·과제수만 제공하고 '성공률' 항목 자체가 없음. 성공률은 KISTEP '국가연구개발사업 성과분석' 등 별도 자료일 가능성 - 추가 확인 필요,"Claude(코시스 커넥터 자동 매칭, 수치 미대조/불일치)",2026-07-31
A013-01,,,,,,매칭 실패,"AI 관련 R&D 예산 1조2000억원(정부 R&D의 약 4%) - 연구개발활동조사(DT_KBA0010) 등에서 'AI 분야'로 별도 분류된 예산 항목을 찾지 못함. 기재부/과기정통부의 R&D 예산 배분안 자료로 추정, KOSIS 미등재 가능성 높음","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A015-01,,,,,,매칭 실패,영국산 자동차 관세 27.5%→10% 인하 - 미국의 대(對)영국 관세 정책 수치로 KOSIS 대상 아님,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A015-02,,,,,,매칭 실패,미국 자동차 수입량 802만대/빅3 221만대(28%) - 미국 시장 데이터(컨설팅업체 글로벌데이터 인용)로 국내 KOSIS 통계 대상 아님,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A015-03,,,,,,매칭 실패,영국의 대미 자동차 수출 64억파운드 - 영국 무역 통계로 KOSIS 대상 아님,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-31
A018-01,DT_343_2010_S0016,343.0,한국거래소(증권·파생상품시장통계),,https://kosis.kr/statHtml/statHtml.do?orgId=343&tblId=DT_343_2010_S0016,표 후보 확인 (분류 불일치),"방산·조선 시가총액 상위 10종목 합계(129조원) - KOSIS 표는 '산업별'(예: 제조업, 금융업 등 대분류) 시가총액만 제공하고, 기사처럼 '상위 10종목'을 직접 골라 합산한 수치는 표에 없음. 언론사 자체 집계로 추정","Claude(코시스 커넥터 자동 매칭, 수치 미대조/불일치)",2026-07-31
A018-02,DT_343_2010_S0016,343.0,한국거래소(증권·파생상품시장통계),,https://kosis.kr/statHtml/statHtml.do?orgId=343&tblId=DT_343_2010_S0016,표 후보 확인 (분류 불일치),자동차 업종 상위 10종목 시가총액(109조원) - 상동 사유,"Claude(코시스 커넥터 자동 매칭, 수치 미대조/불일치)",2026-07-31
